tz_local,wind_speed_ms,wind_dir_deg,station_id
2025-10-23 02:00:00,0.9,291.0,INT
2025-10-23 02:10:00,0.7,47.0,INT
2025-10-23 02:20:00,2.1,85.0,INT
2025-10-23 02:30:00,0.8,84.0,INT
2025-10-23 02:40:00,0.7,152.0,INT
2025-10-23 02:50:00,0.5,258.0,INT
2025-10-23 03:00:00,0.7,241.0,INT
2025-10-23 03:10:00,0.4,321.0,INT
2025-10-23 03:20:00,0.3,226.0,INT
2025-10-23 03:30:00,1.9,207.0,INT
2025-10-23 03:40:00,0.5,323.0,INT
2025-10-23 03:50:00,0.2,321.0,INT
2025-10-23 04:00:00,1.2,56.0,INT
2025-10-23 04:10:00,0.5,276.0,INT
2025-10-23 04:20:00,1.1,137.0,INT
2025-10-23 04:30:00,1.2,31.0,INT
2025-10-23 04:40:00,2.7,66.0,INT
2025-10-23 04:50:00,1.7,80.0,INT
2025-10-23 05:00:00,0.9,212.0,INT
2025-10-23 05:10:00,1.6,20.0,INT
2025-10-23 05:20:00,1.9,73.0,INT
2025-10-23 05:30:00,1.3,104.0,INT
2025-10-23 05:40:00,0.6,118.0,INT
2025-10-23 05:50:00,0.3,29.0,INT
2025-10-23 06:00:00,0.4,129.0,INT
2025-10-23 06:10:00,1.4,31.0,INT
2025-10-23 06:20:00,1.2,35.0,INT
2025-10-23 06:30:00,0.7,104.0,INT
2025-10-23 06:40:00,0.1,173.0,INT
2025-10-23 06:50:00,0.7,77.0,INT
2025-10-23 07:00:00,0.2,323.0,INT
2025-10-23 07:10:00,1.0,184.0,INT
2025-10-23 07:20:00,0.9,281.0,INT
2025-10-23 07:30:00,1.9,54.0,INT
2025-10-23 07:40:00,0.9,86.0,INT
2025-10-23 07:50:00,1.1,140.0,INT
2025-10-23 08:00:00,1.7,58.0,INT
2025-10-23 08:10:00,0.6,126.0,INT
2025-10-23 08:20:00,0.9,13.0,INT
2025-10-23 08:30:00,1.2,42.0,INT
2025-10-23 08:40:00,0.9,354.0,INT
2025-10-23 08:50:00,2.6,31.0,INT
2025-10-23 09:00:00,0.9,126.0,INT
2025-10-23 09:10:00,1.0,219.0,INT
2025-10-23 09:20:00,1.2,262.0,INT
2025-10-23 09:30:00,0.8,213.0,INT
2025-10-23 09:40:00,1.7,237.0,INT
2025-10-23 09:50:00,1.4,33.0,INT
2025-10-23 10:00:00,1.0,25.0,INT
2025-10-23 10:10:00,0.4,126.0,INT
2025-10-23 10:20:00,1.4,99.0,INT
2025-10-23 10:30:00,0.8,4.0,INT
2025-10-23 10:40:00,2.0,34.0,INT
2025-10-23 10:50:00,1.5,8.0,INT
2025-10-23 11:00:00,3.3,242.0,INT
2025-10-23 11:10:00,3.6,211.0,INT
2025-10-23 11:20:00,2.8,205.0,INT
2025-10-23 11:30:00,4.1,242.0,INT
2025-10-23 11:40:00,4.5,241.0,INT
2025-10-23 11:50:00,4.3,223.0,INT
2025-10-23 12:00:00,5.6,230.0,INT
2025-10-23 12:10:00,6.9,260.0,INT
2025-10-23 12:20:00,6.0,241.0,INT
2025-10-23 12:30:00,5.6,244.0,INT
2025-10-23 12:40:00,3.0,285.0,INT
2025-10-23 12:50:00,5.6,221.0,INT
2025-10-23 13:00:00,4.6,233.0,INT
2025-10-23 13:10:00,5.4,252.0,INT
2025-10-23 13:20:00,4.7,244.0,INT
2025-10-23 13:30:00,6.6,242.0,INT
2025-10-23 13:40:00,6.2,249.0,INT
2025-10-23 13:50:00,5.8,210.0,INT
2025-10-23 14:00:00,4.4,202.0,INT
2025-10-23 14:10:00,4.6,177.0,INT
2025-10-23 14:20:00,3.5,192.0,INT
2025-10-23 14:30:00,3.4,286.0,INT
2025-10-23 14:40:00,2.8,282.0,INT
2025-10-23 14:50:00,4.1,240.0,INT
2025-10-23 15:00:00,5.5,218.0,INT
2025-10-23 15:10:00,3.4,255.0,INT
2025-10-23 15:20:00,3.6,266.0,INT
2025-10-23 15:30:00,2.4,265.0,INT
2025-10-23 15:40:00,4.1,276.0,INT
2025-10-23 15:50:00,3.8,299.0,INT
2025-10-23 16:00:00,2.2,309.0,INT
2025-10-23 16:10:00,1.1,74.0,INT
2025-10-23 16:20:00,0.9,170.0,INT
2025-10-23 16:30:00,3.3,225.0,INT
2025-10-23 16:40:00,4.4,229.0,INT
2025-10-23 16:50:00,3.6,235.0,INT
2025-10-23 17:00:00,2.3,238.0,INT
2025-10-23 17:10:00,1.4,241.0,INT
2025-10-23 17:20:00,2.0,196.0,INT
2025-10-23 17:30:00,0.6,219.0,INT
2025-10-23 17:40:00,2.2,233.0,INT
2025-10-23 17:50:00,3.3,265.0,INT
2025-10-23 18:00:00,5.3,271.0,INT
2025-10-23 18:10:00,4.8,245.0,INT
2025-10-23 18:20:00,3.9,268.0,INT
2025-10-23 18:30:00,4.2,271.0,INT
2025-10-23 18:40:00,4.6,264.0,INT
2025-10-23 18:50:00,5.1,271.0,INT
2025-10-23 19:00:00,5.8,261.0,INT
2025-10-23 19:10:00,5.4,263.0,INT
2025-10-23 19:20:00,6.0,264.0,INT
2025-10-23 19:30:00,5.8,233.0,INT
2025-10-23 19:40:00,5.1,260.0,INT
2025-10-23 19:50:00,5.1,220.0,INT
2025-10-23 20:00:00,3.6,245.0,INT
2025-10-23 20:10:00,4.0,223.0,INT
2025-10-23 20:20:00,5.5,258.0,INT
2025-10-23 20:30:00,4.7,263.0,INT
2025-10-23 20:40:00,5.8,246.0,INT
2025-10-23 20:50:00,5.2,247.0,INT
2025-10-23 21:00:00,5.4,251.0,INT
2025-10-23 21:10:00,2.9,276.0,INT
2025-10-23 21:20:00,2.7,270.0,INT
2025-10-23 21:30:00,2.7,298.0,INT
2025-10-23 21:40:00,2.9,279.0,INT
2025-10-23 21:50:00,3.7,275.0,INT
2025-10-23 22:00:00,3.6,264.0,INT
2025-10-23 22:10:00,2.8,237.0,INT
2025-10-23 22:20:00,1.8,249.0,INT
2025-10-23 22:30:00,2.1,246.0,INT
2025-10-23 22:40:00,2.0,254.0,INT
2025-10-23 22:50:00,1.7,223.0,INT
2025-10-23 23:00:00,2.4,235.0,INT
2025-10-23 23:10:00,2.4,253.0,INT
2025-10-23 23:20:00,3.1,237.0,INT
2025-10-23 23:30:00,2.8,203.0,INT
2025-10-23 23:40:00,4.0,282.0,INT
2025-10-23 23:50:00,3.3,293.0,INT
