epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2338.42,4.34204,13.9314,0.94302,0.00707,0.00326,0.00365,0.00084,4.60148,4.50324,0.87162,0.000665333,0.000665333,0.000665333
2,4465.87,4.29796,8.76099,0.8808,0.00193,0.00089,0.00101,0.00023,4.61765,4.23138,0.89645,0.00130563,0.00130563,0.00130563
3,6560.98,4.18968,7.61456,0.85867,0.00573,0.00264,0.00335,0.00071,4.58072,4.07985,0.84678,0.00191952,0.00191952,0.00191952
4,8697.98,4.16025,6.85468,0.85501,0.00993,0.00458,0.00504,0.00117,4.56561,3.61089,0.87152,0.0018812,0.0018812,0.0018812
5,10824.6,4.1994,5.17158,0.86554,0.0042,0.00194,0.00216,0.0005,4.58458,3.31664,0.88102,0.0018416,0.0018416,0.0018416
6,12966.1,4.05914,4.52755,0.83925,0.01045,0.00482,0.00538,0.00134,4.57378,3.08308,0.85399,0.001802,0.001802,0.001802
7,15080.2,4.16593,3.9584,0.86131,0.01118,0.00516,0.00567,0.0013,4.59006,2.97359,0.88542,0.0017624,0.0017624,0.0017624
8,17143.6,4.20587,3.79677,0.85999,0.00947,0.00436,0.0048,0.00106,4.55289,2.97284,0.84984,0.0017228,0.0017228,0.0017228
9,19186.6,4.10384,3.79804,0.84786,0.01031,0.00442,0.00549,0.00128,4.56253,3.32809,0.84963,0.0016832,0.0016832,0.0016832
10,21357,4.21014,3.48235,0.87355,0.01243,0.00529,0.0063,0.00147,4.54187,2.91136,0.86484,0.0016436,0.0016436,0.0016436
11,23485,4.15885,3.34131,0.86144,0.00691,0.00296,0.00349,0.0008,4.5817,3.37238,0.86135,0.001604,0.001604,0.001604
12,25629.8,4.11393,3.37217,0.84829,0.0143,0.00526,0.01212,0.00309,4.5886,2.84238,0.84405,0.0015644,0.0015644,0.0015644
13,27738.9,4.2187,3.33343,0.86561,0.01314,0.00577,0.00904,0.00298,4.54907,2.94278,0.83827,0.0015248,0.0015248,0.0015248
14,29901.6,4.16383,3.12004,0.85983,0.0141,0.00512,0.00759,0.00188,4.5762,2.89178,0.84339,0.0014852,0.0014852,0.0014852
15,31979,4.17625,3.05515,0.86302,0.01359,0.00538,0.00748,0.00188,4.54223,2.8793,0.86368,0.0014456,0.0014456,0.0014456
16,34033.2,4.07937,2.95801,0.84428,0.0123,0.00489,0.00665,0.00159,4.52989,3.24442,0.8596,0.001406,0.001406,0.001406
17,36061.6,4.05867,2.9701,0.83246,0.01419,0.00525,0.00771,0.00187,4.54116,2.88913,0.8648,0.0013664,0.0013664,0.0013664
18,38098.1,4.03895,2.87814,0.84057,0.01909,0.00714,0.01077,0.00281,4.53583,2.79757,0.8615,0.0013268,0.0013268,0.0013268
19,40213.2,4.06779,2.90823,0.83755,0.00764,0.00315,0.00406,0.00098,4.56872,3.31821,0.87816,0.0012872,0.0012872,0.0012872
20,42308.9,4.04223,2.75083,0.83045,0.01208,0.00455,0.0064,0.00152,4.57912,2.95625,0.88649,0.0012476,0.0012476,0.0012476
21,44337.6,3.98002,2.73561,0.82478,0.01843,0.00671,0.01085,0.00299,4.50976,2.74037,0.84994,0.001208,0.001208,0.001208
22,46377.7,4.10818,2.76018,0.84701,0.01575,0.00646,0.0091,0.0021,4.518,2.95839,0.84469,0.0011684,0.0011684,0.0011684
