epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.271,4.21776,13.1059,0.9042,0.00163,0.00077,0.00084,0.00016,4.51974,3.52117,0.83543,0.000666,0.000666,0.000666
2,313.958,4.13836,7.30175,0.85102,0.00677,0.00318,0.00342,0.00076,4.49659,3.03677,0.84782,0.00130628,0.00130628,0.00130628
3,456.675,4.15371,5.07516,0.84963,0.0077,0.00362,0.00428,0.00101,4.51104,2.87226,0.87056,0.00192016,0.00192016,0.00192016
4,935.552,4.17318,4.07547,0.85596,0.00873,0.00384,0.00445,0.00098,4.49583,2.72907,0.85109,0.0018812,0.0018812,0.0018812
5,1158.99,4.09413,3.71351,0.83871,0.00778,0.0032,0.00391,0.00086,4.51904,3.00394,0.8475,0.0018416,0.0018416,0.0018416
6,1296.22,4.17562,3.32348,0.85617,0.00608,0.00254,0.00373,0.00084,4.50852,3.257,0.83962,0.001802,0.001802,0.001802
7,2026.01,4.16662,3.24174,0.85154,0.01197,0.00488,0.00762,0.00185,4.47626,2.75722,0.84344,0.0017624,0.0017624,0.0017624
8,2165.1,4.13699,3.07521,0.85259,0.01941,0.00824,0.0106,0.00258,4.46277,2.42069,0.8427,0.0017228,0.0017228,0.0017228
9,2301.81,4.10554,2.89835,0.84771,0.01709,0.00631,0.00947,0.00225,4.48482,2.73338,0.84936,0.0016832,0.0016832,0.0016832
10,2445.59,4.1249,2.89456,0.84606,0.01149,0.00467,0.00653,0.00165,4.51091,2.87128,0.84636,0.0016436,0.0016436,0.0016436
11,2591.94,4.12206,2.87495,0.84934,0.01056,0.00424,0.00584,0.00144,4.49239,2.86831,0.84984,0.001604,0.001604,0.001604
12,2727.78,4.09386,2.72339,0.84426,0.00797,0.00313,0.00896,0.002,4.5097,3.30595,0.8355,0.0015644,0.0015644,0.0015644
13,3129.23,4.09976,2.75118,0.84695,0.01301,0.0055,0.00739,0.002,4.46976,2.63077,0.84342,0.0015248,0.0015248,0.0015248
14,3268.04,4.08167,2.68429,0.84031,0.0128,0.0055,0.00774,0.00199,4.46318,2.65612,0.83848,0.0014852,0.0014852,0.0014852
15,3593.72,4.15143,2.76734,0.85527,0.01414,0.00576,0.00954,0.00244,4.48231,2.65553,0.8483,0.0014456,0.0014456,0.0014456
16,3813.61,4.0986,2.69674,0.84437,0.00797,0.00324,0.00467,0.00132,4.47648,3.10433,0.83847,0.001406,0.001406,0.001406
17,4369.48,4.07866,2.71799,0.84123,0.01538,0.00636,0.00837,0.00222,4.45411,2.62664,0.84661,0.0013664,0.0013664,0.0013664
18,4501.86,4.0008,2.66998,0.82798,0.01865,0.00758,0.0118,0.00313,4.44742,2.44505,0.85028,0.0013268,0.0013268,0.0013268
19,4660.46,4.0708,2.66559,0.84761,0.01753,0.00706,0.00956,0.00238,4.44636,2.5496,0.85564,0.0012872,0.0012872,0.0012872
20,5151.08,3.99143,2.6095,0.83787,0.02515,0.01042,0.01387,0.00331,4.40931,2.28662,0.83325,0.0012476,0.0012476,0.0012476
21,5717.6,4.06233,2.72022,0.84044,0.01303,0.00499,0.0076,0.0019,4.48275,2.84647,0.84116,0.001208,0.001208,0.001208
22,5986.23,4.04594,2.64129,0.84042,0.01308,0.00562,0.00711,0.00185,4.41398,2.57172,0.84538,0.0011684,0.0011684,0.0011684
23,6474.06,4.01288,2.59274,0.83486,0.01424,0.00582,0.00852,0.00252,4.42297,2.6669,0.83444,0.0011288,0.0011288,0.0011288
24,7387.72,4.02068,2.52815,0.83957,0.01362,0.00566,0.00767,0.0019,4.43786,2.63329,0.83979,0.0010892,0.0010892,0.0010892
25,7544.47,4.01416,2.52583,0.8364,0.01734,0.00723,0.01198,0.00284,4.39468,2.51036,0.83392,0.0010496,0.0010496,0.0010496
26,7755.85,4.05283,2.60924,0.84752,0.01295,0.00519,0.00894,0.00236,4.42469,2.94505,0.83883,0.00101,0.00101,0.00101
27,8048.67,3.9571,2.51376,0.83224,0.02555,0.01073,0.01468,0.00362,4.35125,2.35031,0.83096,0.0009704,0.0009704,0.0009704
28,8195.88,4.02092,2.57571,0.84057,0.01517,0.00638,0.01006,0.00243,4.42413,2.63367,0.83931,0.0009308,0.0009308,0.0009308
29,8385.05,4.04244,2.53688,0.85009,0.01494,0.00617,0.00911,0.00207,4.4112,2.59555,0.85111,0.0008912,0.0008912,0.0008912
30,9458.98,4.07366,2.60122,0.85032,0.01249,0.00527,0.00788,0.00212,4.40739,2.76014,0.83882,0.0008516,0.0008516,0.0008516
31,9603.17,4.01947,2.57902,0.84251,0.01797,0.00742,0.01021,0.00262,4.40592,2.49944,0.83727,0.000812,0.000812,0.000812
32,10318.4,4.04622,2.53472,0.85033,0.01614,0.00654,0.0091,0.00229,4.39298,2.72083,0.8356,0.0007724,0.0007724,0.0007724
