epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.097,4.21776,13.1059,0.9042,0.00163,0.00077,0.00084,0.00016,4.51974,3.52117,0.83543,0.000666,0.000666,0.000666
2,309.51,4.14862,7.29528,0.853,0.00557,0.00262,0.00281,0.0006,4.50418,3.09871,0.84454,0.00132387,0.00132387,0.00132387
3,444.735,4.18989,5.09198,0.85372,0.00873,0.00411,0.00456,0.00106,4.51723,2.90956,0.84609,0.00197294,0.00197294,0.00197294
4,905.72,4.18173,4.01774,0.85822,0.01004,0.00472,0.00519,0.0012,4.51116,2.77133,0.85527,0.0019604,0.0019604,0.0019604
5,1145.28,4.10232,3.62819,0.83764,0.00985,0.00399,0.0099,0.00311,4.53189,2.85065,0.83763,0.0019472,0.0019472,0.0019472
6,1284.73,4.17402,3.2403,0.85722,0.00855,0.00375,0.00525,0.00139,4.51438,2.91738,0.85593,0.001934,0.001934,0.001934
7,1420.56,4.20279,3.16634,0.85939,0.00781,0.00304,0.00638,0.00238,4.51568,3.12822,0.8558,0.0019208,0.0019208,0.0019208
8,1556.57,4.16254,3.00212,0.85103,0.01737,0.00714,0.00959,0.00222,4.49056,2.52024,0.84505,0.0019076,0.0019076,0.0019076
9,1802.17,4.11766,2.86123,0.84936,0.01127,0.00442,0.00591,0.00138,4.52594,2.8264,0.8787,0.0018944,0.0018944,0.0018944
10,1947.9,4.1366,2.88292,0.84583,0.01805,0.00689,0.00933,0.00226,4.46472,2.73775,0.84605,0.0018812,0.0018812,0.0018812
11,2094.28,4.14237,2.92461,0.85323,0.01845,0.00783,0.00958,0.00232,4.49048,2.44036,0.86513,0.001868,0.001868,0.001868
12,2229.22,4.10335,2.69457,0.84326,0.00799,0.00341,0.0048,0.00127,4.49115,3.38267,0.84884,0.0018548,0.0018548,0.0018548
13,2620.92,4.11054,2.7381,0.84578,0.01674,0.00688,0.00992,0.00235,4.4759,2.55166,0.84768,0.0018416,0.0018416,0.0018416
14,2760.03,4.10414,2.67629,0.84136,0.01445,0.00612,0.00838,0.00191,4.47501,2.68337,0.83192,0.0018284,0.0018284,0.0018284
15,3146.35,4.18691,2.77045,0.85637,0.01589,0.00667,0.00959,0.0022,4.4615,2.55708,0.82763,0.0018152,0.0018152,0.0018152
16,3281.04,4.11201,2.70163,0.84466,0.0117,0.00477,0.00631,0.00159,4.46343,2.7849,0.85894,0.001802,0.001802,0.001802
