epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.849,4.18629,11.3665,0.91364,0.0111,0.00421,0.00559,0.0013,4.49378,3.02396,0.86235,0.000666,0.000666,0.000666
2,406.83,4.11092,3.27284,0.86746,0.01619,0.0064,0.00825,0.00191,4.41697,2.68997,0.85695,0.00132387,0.00132387,0.00132387
3,608.212,4.11904,3.15457,0.86401,0.01138,0.00484,0.00585,0.00138,4.4609,2.6435,0.86855,0.00197294,0.00197294,0.00197294
4,807.534,4.14327,2.93937,0.87357,0.01043,0.00435,0.00528,0.00125,4.48567,2.7354,0.88731,0.0019604,0.0019604,0.0019604
5,1042.5,4.03802,2.85735,0.8493,0.00715,0.00281,0.00522,0.00178,4.48675,3.42804,0.84265,0.0019472,0.0019472,0.0019472
6,2254.52,4.12609,2.91645,0.8725,0.0048,0.00177,0.00278,0.00069,4.48768,3.99392,0.86329,0.001934,0.001934,0.001934
7,2749.33,4.1477,2.91274,0.87599,0.01283,0.00529,0.00817,0.0019,4.46298,2.74848,0.86102,0.0019208,0.0019208,0.0019208
8,3291.64,4.08683,2.87908,0.86392,0.01503,0.00673,0.00874,0.00257,4.42026,2.62359,0.85751,0.0019076,0.0019076,0.0019076
9,3656.91,4.05808,2.78442,0.86218,0.01562,0.00596,0.00869,0.00229,4.42109,2.92561,0.84048,0.0018944,0.0018944,0.0018944
10,4043.45,4.05495,2.80571,0.86163,0.02248,0.00908,0.01195,0.00297,4.40206,2.56062,0.84812,0.0018812,0.0018812,0.0018812
11,4232.33,4.03968,2.7941,0.8648,0.01611,0.00632,0.01136,0.0032,4.46832,2.75026,0.84252,0.001868,0.001868,0.001868
12,4415.19,4.04947,2.7418,0.86104,0.01069,0.0045,0.00656,0.00187,4.39748,3.12611,0.86163,0.0018548,0.0018548,0.0018548
13,5457.49,4.00121,2.66615,0.85674,0.01168,0.00482,0.00664,0.00156,4.45871,2.8595,0.84735,0.0018416,0.0018416,0.0018416
14,5810.09,4.00833,2.62956,0.85453,0.01607,0.00688,0.00901,0.00215,4.43164,2.60346,0.86286,0.0018284,0.0018284,0.0018284
15,6410.88,4.06255,2.74862,0.86643,0.01414,0.00578,0.00829,0.00214,4.46881,2.71589,0.84254,0.0018152,0.0018152,0.0018152
16,6711.97,3.99246,2.6626,0.86044,0.01007,0.00409,0.00589,0.00144,4.44792,3.23918,0.8551,0.001802,0.001802,0.001802
17,7041.16,3.989,2.71798,0.85945,0.01749,0.00707,0.01372,0.00507,4.35863,2.62819,0.85567,0.0017888,0.0017888,0.0017888
18,7263.67,3.92147,2.63531,0.84269,0.01854,0.00751,0.01091,0.00276,4.38862,2.64807,0.84236,0.0017756,0.0017756,0.0017756
19,7947.5,4.0031,2.66241,0.86418,0.01433,0.00589,0.0088,0.00224,4.41163,2.84795,0.87066,0.0017624,0.0017624,0.0017624
20,8561.33,3.93288,2.60275,0.85137,0.02183,0.00923,0.01197,0.00288,4.37597,2.46447,0.84374,0.0017492,0.0017492,0.0017492
21,8744.49,3.98179,2.70371,0.85544,0.01589,0.00608,0.00958,0.00224,4.38594,2.81031,0.85755,0.001736,0.001736,0.001736
22,8939.3,3.96763,2.58364,0.85702,0.01343,0.00541,0.00731,0.00182,4.36982,2.80405,0.85795,0.0017228,0.0017228,0.0017228
23,9237.54,3.93965,2.59355,0.84936,0.01182,0.0048,0.00629,0.00148,4.39567,2.8161,0.85199,0.0017096,0.0017096,0.0017096
24,9508.32,3.93928,2.54597,0.85268,0.02144,0.00873,0.01196,0.00281,4.35073,2.65026,0.84452,0.0016964,0.0016964,0.0016964
25,9709.29,3.93519,2.50159,0.84801,0.01868,0.00771,0.01432,0.00381,4.33063,2.68484,0.84301,0.0016832,0.0016832,0.0016832
26,9896.33,4.00297,2.63041,0.86407,0.01855,0.00748,0.01013,0.00256,4.3394,2.84111,0.84376,0.00167,0.00167,0.00167
27,10102.3,3.88502,2.50683,0.84789,0.02326,0.00993,0.01371,0.00336,4.32184,2.45408,0.85872,0.0016568,0.0016568,0.0016568
28,10302.7,3.9532,2.60188,0.85561,0.01825,0.0074,0.01064,0.00291,4.36966,2.68833,0.83765,0.0016436,0.0016436,0.0016436
29,10505.9,3.99224,2.55848,0.86745,0.01161,0.00482,0.00744,0.00206,4.40674,3.04773,0.84217,0.0016304,0.0016304,0.0016304
30,10810.3,3.99754,2.60318,0.86643,0.02577,0.01052,0.01546,0.00426,4.32272,2.46391,0.83878,0.0016172,0.0016172,0.0016172
31,11462.7,3.93462,2.56558,0.85552,0.01531,0.0062,0.01013,0.00331,4.37628,2.78688,0.84519,0.001604,0.001604,0.001604
32,11684.7,3.97559,2.54422,0.86511,0.01174,0.0045,0.00884,0.00295,4.364,3.29726,0.82712,0.0015908,0.0015908,0.0015908
33,11883.8,3.96902,2.57582,0.86143,0.01582,0.00646,0.00938,0.0024,4.38293,2.96044,0.84284,0.0015776,0.0015776,0.0015776
34,12151.3,3.92142,2.46932,0.84956,0.02432,0.00994,0.01361,0.00336,4.30234,2.59955,0.84312,0.0015644,0.0015644,0.0015644
35,12471.9,3.92118,2.64157,0.85382,0.0179,0.00729,0.01093,0.00255,4.34077,2.76913,0.8457,0.0015512,0.0015512,0.0015512
36,13257.7,3.94571,2.53536,0.85451,0.01895,0.00769,0.01153,0.00309,4.33013,2.62491,0.85363,0.001538,0.001538,0.001538
37,13423.8,3.9345,2.56747,0.84805,0.01881,0.00759,0.01143,0.0028,4.37162,2.79768,0.84831,0.0015248,0.0015248,0.0015248
38,13800.9,3.92909,2.59526,0.84831,0.01711,0.00697,0.01353,0.00351,4.33861,2.87083,0.83774,0.0015116,0.0015116,0.0015116
39,14104.4,3.91394,2.49937,0.84579,0.0096,0.00398,0.00977,0.00414,4.366,3.22918,0.83438,0.0014984,0.0014984,0.0014984
40,14334.3,3.9642,2.54343,0.85601,0.01129,0.00471,0.00692,0.0019,4.35837,3.15089,0.85636,0.0014852,0.0014852,0.0014852
41,14526.2,3.93867,2.4938,0.85647,0.02887,0.01171,0.01624,0.00402,4.3064,2.33467,0.84313,0.001472,0.001472,0.001472
42,14750.4,3.88712,2.56646,0.84721,0.01758,0.00711,0.01127,0.00277,4.32758,2.82607,0.8455,0.0014588,0.0014588,0.0014588
43,14927.6,3.91848,2.52883,0.85452,0.01782,0.00724,0.01089,0.00294,4.36056,2.82794,0.8331,0.0014456,0.0014456,0.0014456
44,15295.5,3.9318,2.54506,0.86013,0.02124,0.00882,0.01253,0.00317,4.3063,2.53759,0.83723,0.0014324,0.0014324,0.0014324
45,16012.6,3.91616,2.51469,0.85129,0.02237,0.00921,0.01298,0.0032,4.31701,2.54785,0.85449,0.0014192,0.0014192,0.0014192
46,16205,3.901,2.44626,0.84703,0.01402,0.00573,0.00835,0.00214,4.31273,2.99012,0.83192,0.001406,0.001406,0.001406
47,16390.6,3.93432,2.4442,0.85026,0.01566,0.00638,0.0103,0.0025,4.30079,2.77602,0.84146,0.0013928,0.0013928,0.0013928
48,16572.8,3.96072,2.60404,0.8594,0.0199,0.00796,0.01243,0.0029,4.32902,2.66222,0.85305,0.0013796,0.0013796,0.0013796
