epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1465.97,4.16093,6.72105,0.90889,0.00702,0.00266,0.0044,0.00107,4.5138,3.10281,0.87611,0.00333267,0.00333267,0.00333267
2,10340,4.12108,2.77347,0.86595,0.01331,0.00523,0.00693,0.00159,4.52402,2.84411,0.87876,0.006622,0.006622,0.006622
3,19149.5,4.14358,2.75346,0.86297,0.01953,0.00764,0.01474,0.00335,4.45763,2.52451,0.85187,0.00986734,0.00986734,0.00986734
4,21110.6,4.08255,2.72899,0.85345,0.02582,0.00973,0.01402,0.0034,4.42658,2.63698,0.85179,0.009802,0.009802,0.009802
5,24196.4,4.05049,2.65537,0.8533,0.02006,0.00788,0.01223,0.00299,4.42715,2.53117,0.85205,0.009736,0.009736,0.009736
6,29551,4.01491,2.59324,0.85037,0.01734,0.00676,0.01019,0.00247,4.41645,2.77088,0.84375,0.00967,0.00967,0.00967
7,30721.8,3.97612,2.57656,0.84674,0.01711,0.00683,0.00935,0.00219,4.41241,2.69722,0.85294,0.009604,0.009604,0.009604
8,41114.7,3.96842,2.56133,0.83989,0.02835,0.01106,0.01928,0.00563,4.33724,2.45183,0.84079,0.009538,0.009538,0.009538
9,47246.7,3.9752,2.60025,0.84698,0.02397,0.00939,0.01698,0.00429,4.34784,2.48228,0.85117,0.009472,0.009472,0.009472
10,48983.4,3.96961,2.52212,0.84433,0.02254,0.00868,0.01376,0.00376,4.35701,2.57457,0.84691,0.009406,0.009406,0.009406
11,51797.4,3.95897,2.51148,0.84384,0.02994,0.01126,0.01756,0.00469,4.32069,2.48512,0.84724,0.00934,0.00934,0.00934
12,60597.9,3.9264,2.46547,0.83768,0.02556,0.00975,0.01528,0.00435,4.32017,2.5813,0.83439,0.009274,0.009274,0.009274
13,67167.9,3.91181,2.45407,0.83489,0.02705,0.01051,0.01608,0.00406,4.31423,2.4474,0.84746,0.009208,0.009208,0.009208
14,74812.7,3.90094,2.46576,0.83205,0.02577,0.01016,0.01507,0.00416,4.31399,2.51259,0.83488,0.009142,0.009142,0.009142
15,81930.4,3.88646,2.4494,0.83473,0.02651,0.01017,0.01829,0.00424,4.30208,2.51687,0.84059,0.009076,0.009076,0.009076
