new_image_name,date,time,season,daytime,weather_label,year,month,month_name,hour,weather_timestamp,timestamp,Merligen Temperature [2 m elevation corrected],Merligen Precipitation Total,Merligen Snowfall Amount,Merligen Sunshine Duration,Merligen Wind Speed [10 m],Merligen Wind Direction [10 m],Merligen Wind Gust,bfr,wind_label
img_19828.png,2025-09-01,01:00:00,autumn,night,rainy,2025,9,September,1,20250901T0100,20250901T0100,16.270521,0.0,0.0,0.0,4.73506,278.74615,10.799999,1,light_air
img_12035.png,2025-06-16,18:00:00,summer,evening,cloudy,2025,6,June,18,20250616T1800,20250616T1800,20.310522,0.0,0.0,41.21212,8.161764,48.576324,26.64,2,light_breeze
img_03318.png,2025-03-15,06:00:00,spring,night,foggy,2025,3,March,6,20250315T0600,20250315T0600,3.8205216,0.2,0.07,0.0,8.209263,37.87497,21.24,2,light_breeze
img_25623.png,2025-10-27,11:50:00,autumn,morning,foggy,2025,10,October,11,20251027T1100,20251027T1100,8.060521,1.2,0.21000001,0.0,19.406637,229.51399,56.16,4,moderate_wind
img_00190.png,2022-11-18,12:00:00,autumn,afternoon,rainy,2022,11,November,12,20221118T1200,20221118T1200,8.810521,0.1,0.0,3.6363637,11.384199,251.56506,40.68,3,light_wind
img_00859.png,2024-09-24,12:00:00,autumn,afternoon,cloudy,2024,9,September,12,20240924T1200,20240924T1200,16.250523,0.1,0.0,44.848488,11.592894,233.84181,37.44,3,light_wind
img_11148.png,2025-06-08,10:00:00,summer,morning,sunny,2025,6,June,10,20250608T1000,20250608T1000,17.850523,0.2,0.0,23.636362,15.978486,255.65067,56.88,3,light_wind
img_05137.png,2025-04-01,13:50:00,spring,afternoon,cloudy,2025,4,April,13,20250401T1300,20250401T1300,10.170522,0.2,0.07,36.969692,22.66857,57.319443,63.0,4,moderate_wind
img_16014.png,2025-07-25,13:10:00,summer,afternoon,cloudy,2025,7,July,13,20250725T1300,20250725T1300,19.120522,0.0,0.0,15.757578,1.1384199,108.434944,24.119999,1,light_air
img_11903.png,2025-06-15,13:30:00,summer,afternoon,cloudy,2025,6,June,13,20250615T1300,20250615T1300,25.840523,1.3,0.0,47.272724,9.565437,289.7989,28.08,2,light_breeze
