Station_Name,"Coord_Sys(PROJCS,GEOGCS)","Datum(WGS84,NAD83,NAD27)",Lat/YCoord,Lon/XCoord,Height,"Height_Units(meters,feet)",Speed,"Speed_Units(mph,kph,mps,kts)",Direction(degrees),Temperature,"Temperature_Units(F,C)",Cloud_Cover(%),Radius_of_Influence,"Radius_of_Influence_Units(miles,feet,meters,km)",date_time
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.3,mps,246.0,15.0,C,,-1,meters,2025-08-09T00:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.6,mps,232.0,14.8,C,,-1,meters,2025-08-09T00:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.0,mps,186.0,14.8,C,,-1,meters,2025-08-09T00:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.1,mps,213.0,15.3,C,,-1,meters,2025-08-09T00:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,225.0,15.5,C,,-1,meters,2025-08-09T00:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.3,mps,219.0,15.5,C,,-1,meters,2025-08-09T00:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,222.0,15.8,C,,-1,meters,2025-08-09T01:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.5,mps,189.0,14.3,C,,-1,meters,2025-08-09T01:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.0,mps,237.0,15.3,C,,-1,meters,2025-08-09T01:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.4,mps,81.0,14.2,C,,-1,meters,2025-08-09T01:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.2,mps,9.0,14.3,C,,-1,meters,2025-08-09T01:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.4,mps,8.0,13.7,C,,-1,meters,2025-08-09T01:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,181.0,13.9,C,,-1,meters,2025-08-09T02:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.1,mps,201.0,14.0,C,,-1,meters,2025-08-09T02:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.6,mps,238.0,14.5,C,,-1,meters,2025-08-09T02:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.1,mps,226.0,14.4,C,,-1,meters,2025-08-09T02:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.0,mps,215.0,13.5,C,,-1,meters,2025-08-09T02:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.9,mps,229.0,13.5,C,,-1,meters,2025-08-09T02:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.1,mps,174.0,12.9,C,,-1,meters,2025-08-09T03:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.0,mps,244.0,13.4,C,,-1,meters,2025-08-09T03:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.7,mps,263.0,13.2,C,,-1,meters,2025-08-09T03:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.1,mps,202.0,12.9,C,,-1,meters,2025-08-09T03:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,232.0,13.2,C,,-1,meters,2025-08-09T03:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,236.0,13.4,C,,-1,meters,2025-08-09T03:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.3,mps,206.0,13.5,C,,-1,meters,2025-08-09T04:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,219.0,13.6,C,,-1,meters,2025-08-09T04:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.3,mps,218.0,13.4,C,,-1,meters,2025-08-09T04:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.4,mps,230.0,14.0,C,,-1,meters,2025-08-09T04:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.4,mps,213.0,13.6,C,,-1,meters,2025-08-09T04:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.1,mps,240.0,13.9,C,,-1,meters,2025-08-09T04:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.9,mps,234.0,14.0,C,,-1,meters,2025-08-09T05:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.8,mps,200.0,13.9,C,,-1,meters,2025-08-09T05:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.9,mps,223.0,14.6,C,,-1,meters,2025-08-09T05:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.4,mps,189.0,14.6,C,,-1,meters,2025-08-09T05:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.6,mps,208.0,14.7,C,,-1,meters,2025-08-09T05:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.9,mps,244.0,16.0,C,,-1,meters,2025-08-09T05:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.5,mps,216.0,16.3,C,,-1,meters,2025-08-09T06:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.7,mps,211.0,16.8,C,,-1,meters,2025-08-09T06:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.4,mps,190.0,17.2,C,,-1,meters,2025-08-09T06:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.4,mps,211.0,17.7,C,,-1,meters,2025-08-09T06:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.1,mps,192.0,18.2,C,,-1,meters,2025-08-09T06:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.1,mps,200.0,18.6,C,,-1,meters,2025-08-09T06:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.6,mps,192.0,19.0,C,,-1,meters,2025-08-09T07:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.0,mps,215.0,19.9,C,,-1,meters,2025-08-09T07:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.3,mps,247.0,20.7,C,,-1,meters,2025-08-09T07:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.9,mps,212.0,21.3,C,,-1,meters,2025-08-09T07:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.4,mps,181.0,21.8,C,,-1,meters,2025-08-09T07:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.3,mps,121.0,22.5,C,,-1,meters,2025-08-09T07:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.1,mps,179.0,23.2,C,,-1,meters,2025-08-09T08:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.1,mps,15.0,23.9,C,,-1,meters,2025-08-09T08:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.0,mps,66.0,24.1,C,,-1,meters,2025-08-09T08:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.7,mps,56.0,24.8,C,,-1,meters,2025-08-09T08:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.9,mps,54.0,25.5,C,,-1,meters,2025-08-09T08:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.8,mps,84.0,25.7,C,,-1,meters,2025-08-09T08:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,42.0,26.2,C,,-1,meters,2025-08-09T09:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.1,mps,66.0,26.5,C,,-1,meters,2025-08-09T09:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,66.0,26.8,C,,-1,meters,2025-08-09T09:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.4,mps,55.0,27.0,C,,-1,meters,2025-08-09T09:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.9,mps,47.0,27.2,C,,-1,meters,2025-08-09T09:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,38.0,27.5,C,,-1,meters,2025-08-09T09:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,28.0,27.8,C,,-1,meters,2025-08-09T10:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.3,mps,41.0,27.9,C,,-1,meters,2025-08-09T10:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.7,mps,62.0,28.0,C,,-1,meters,2025-08-09T10:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.3,mps,33.0,28.2,C,,-1,meters,2025-08-09T10:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.0,mps,49.0,28.1,C,,-1,meters,2025-08-09T10:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.8,mps,57.0,27.7,C,,-1,meters,2025-08-09T10:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.7,mps,50.0,27.8,C,,-1,meters,2025-08-09T11:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,4.0,mps,53.0,27.7,C,,-1,meters,2025-08-09T11:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.9,mps,54.0,27.6,C,,-1,meters,2025-08-09T11:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.2,mps,58.0,27.8,C,,-1,meters,2025-08-09T11:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.6,mps,54.0,28.1,C,,-1,meters,2025-08-09T11:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.9,mps,48.0,28.3,C,,-1,meters,2025-08-09T11:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.3,mps,36.0,28.6,C,,-1,meters,2025-08-09T12:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.8,mps,44.0,28.6,C,,-1,meters,2025-08-09T12:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.0,mps,44.0,28.8,C,,-1,meters,2025-08-09T12:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.3,mps,38.0,29.0,C,,-1,meters,2025-08-09T12:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.3,mps,55.0,29.3,C,,-1,meters,2025-08-09T12:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.5,mps,35.0,29.4,C,,-1,meters,2025-08-09T12:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.8,mps,40.0,29.6,C,,-1,meters,2025-08-09T13:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.9,mps,36.0,29.6,C,,-1,meters,2025-08-09T13:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.2,mps,40.0,29.7,C,,-1,meters,2025-08-09T13:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.7,mps,40.0,29.8,C,,-1,meters,2025-08-09T13:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.9,mps,34.0,29.9,C,,-1,meters,2025-08-09T13:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.9,mps,42.0,29.8,C,,-1,meters,2025-08-09T13:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.9,mps,48.0,29.9,C,,-1,meters,2025-08-09T14:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.7,mps,42.0,30.0,C,,-1,meters,2025-08-09T14:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.9,mps,48.0,30.0,C,,-1,meters,2025-08-09T14:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.9,mps,49.0,30.0,C,,-1,meters,2025-08-09T14:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.4,mps,48.0,30.1,C,,-1,meters,2025-08-09T14:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.3,mps,40.0,30.2,C,,-1,meters,2025-08-09T14:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,3.7,mps,38.0,30.1,C,,-1,meters,2025-08-09T15:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.7,mps,25.0,30.3,C,,-1,meters,2025-08-09T15:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.9,mps,13.0,30.5,C,,-1,meters,2025-08-09T15:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.3,mps,9.0,30.4,C,,-1,meters,2025-08-09T15:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.6,mps,341.0,30.4,C,,-1,meters,2025-08-09T15:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.2,mps,6.0,30.4,C,,-1,meters,2025-08-09T15:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.9,mps,315.0,29.8,C,,-1,meters,2025-08-09T16:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.6,mps,304.0,29.0,C,,-1,meters,2025-08-09T16:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.4,mps,312.0,29.1,C,,-1,meters,2025-08-09T16:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.3,mps,325.0,28.3,C,,-1,meters,2025-08-09T16:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,2.5,mps,319.0,27.5,C,,-1,meters,2025-08-09T16:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.5,mps,354.0,26.7,C,,-1,meters,2025-08-09T16:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.7,mps,250.0,25.9,C,,-1,meters,2025-08-09T17:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.9,mps,242.0,25.2,C,,-1,meters,2025-08-09T17:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.4,mps,290.0,25.6,C,,-1,meters,2025-08-09T17:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.6,mps,228.0,24.5,C,,-1,meters,2025-08-09T17:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.4,mps,222.0,24.5,C,,-1,meters,2025-08-09T17:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.0,mps,212.0,23.0,C,,-1,meters,2025-08-09T17:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.8,mps,264.0,23.2,C,,-1,meters,2025-08-09T18:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.9,mps,226.0,22.9,C,,-1,meters,2025-08-09T18:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.8,mps,227.0,22.4,C,,-1,meters,2025-08-09T18:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.0,mps,203.0,22.5,C,,-1,meters,2025-08-09T18:30:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.1,mps,225.0,22.2,C,,-1,meters,2025-08-09T18:40:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.8,mps,252.0,21.4,C,,-1,meters,2025-08-09T18:50:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.9,mps,258.0,20.8,C,,-1,meters,2025-08-09T19:00:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.9,mps,222.0,21.0,C,,-1,meters,2025-08-09T19:10:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,1.0,mps,245.0,20.4,C,,-1,meters,2025-08-09T19:20:00Z
FRU,GEOGCS,WGS84,46.599003,7.657542,10.0,meters,0.8,mps,213.0,20.2,C,,-1,meters,2025-08-09T19:30:00Z
