Station_Name,"Coord_Sys(PROJCS,GEOGCS)","Datum(WGS84,NAD83,NAD27)",Lat/YCoord,Lon/XCoord,Height,"Height_Units(meters,feet)",Speed,"Speed_Units(mph,kph,mps,kts)",Direction(degrees),Temperature,"Temperature_Units(F,C)",Cloud_Cover(%),Radius_of_Influence,"Radius_of_Influence_Units(miles,feet,meters,km)",date_time
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.2,mps,220.0,15.3,C,,-1,meters,2025-08-24T00:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.0,mps,235.0,15.2,C,,-1,meters,2025-08-24T00:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.4,mps,231.0,14.9,C,,-1,meters,2025-08-24T00:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.2,mps,228.0,14.7,C,,-1,meters,2025-08-24T00:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.3,mps,249.0,14.6,C,,-1,meters,2025-08-24T00:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.4,mps,238.0,14.5,C,,-1,meters,2025-08-24T00:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.0,mps,218.0,14.6,C,,-1,meters,2025-08-24T01:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.9,mps,240.0,14.6,C,,-1,meters,2025-08-24T01:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.0,mps,229.0,14.4,C,,-1,meters,2025-08-24T01:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.9,mps,218.0,14.4,C,,-1,meters,2025-08-24T01:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.6,mps,249.0,14.5,C,,-1,meters,2025-08-24T01:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.3,mps,230.0,14.3,C,,-1,meters,2025-08-24T01:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.3,mps,229.0,14.2,C,,-1,meters,2025-08-24T02:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.3,mps,234.0,14.3,C,,-1,meters,2025-08-24T02:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.1,mps,189.0,13.7,C,,-1,meters,2025-08-24T02:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.2,mps,242.0,13.5,C,,-1,meters,2025-08-24T02:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.3,mps,182.0,13.6,C,,-1,meters,2025-08-24T02:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.4,mps,203.0,13.2,C,,-1,meters,2025-08-24T02:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.5,mps,217.0,12.6,C,,-1,meters,2025-08-24T03:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.2,mps,225.0,12.6,C,,-1,meters,2025-08-24T03:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.2,mps,240.0,12.4,C,,-1,meters,2025-08-24T03:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.6,mps,223.0,12.0,C,,-1,meters,2025-08-24T03:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.0,mps,219.0,12.1,C,,-1,meters,2025-08-24T03:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.2,mps,203.0,11.9,C,,-1,meters,2025-08-24T03:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.9,mps,215.0,11.8,C,,-1,meters,2025-08-24T04:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.2,mps,218.0,11.7,C,,-1,meters,2025-08-24T04:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.8,mps,234.0,11.3,C,,-1,meters,2025-08-24T04:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.9,mps,218.0,11.7,C,,-1,meters,2025-08-24T04:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.0,mps,215.0,11.4,C,,-1,meters,2025-08-24T04:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.9,mps,236.0,11.6,C,,-1,meters,2025-08-24T04:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.2,mps,213.0,11.6,C,,-1,meters,2025-08-24T05:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.1,mps,211.0,11.3,C,,-1,meters,2025-08-24T05:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.1,mps,220.0,11.5,C,,-1,meters,2025-08-24T05:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.4,mps,221.0,11.4,C,,-1,meters,2025-08-24T05:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.4,mps,231.0,11.2,C,,-1,meters,2025-08-24T05:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.5,mps,231.0,11.4,C,,-1,meters,2025-08-24T05:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.1,mps,168.0,11.6,C,,-1,meters,2025-08-24T06:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.3,mps,211.0,11.8,C,,-1,meters,2025-08-24T06:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.5,mps,185.0,11.9,C,,-1,meters,2025-08-24T06:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.4,mps,189.0,12.6,C,,-1,meters,2025-08-24T06:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.5,mps,128.0,13.0,C,,-1,meters,2025-08-24T06:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.3,mps,62.0,13.5,C,,-1,meters,2025-08-24T06:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.8,mps,76.0,13.9,C,,-1,meters,2025-08-24T07:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.8,mps,135.0,14.0,C,,-1,meters,2025-08-24T07:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.6,mps,152.0,14.4,C,,-1,meters,2025-08-24T07:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.1,mps,166.0,14.5,C,,-1,meters,2025-08-24T07:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.7,mps,157.0,14.8,C,,-1,meters,2025-08-24T07:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.1,mps,122.0,15.2,C,,-1,meters,2025-08-24T07:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.1,mps,113.0,15.5,C,,-1,meters,2025-08-24T08:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.5,mps,121.0,15.8,C,,-1,meters,2025-08-24T08:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.2,mps,54.0,16.2,C,,-1,meters,2025-08-24T08:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.9,mps,75.0,16.6,C,,-1,meters,2025-08-24T08:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.0,mps,33.0,16.8,C,,-1,meters,2025-08-24T08:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,0.2,mps,190.0,17.2,C,,-1,meters,2025-08-24T08:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,2.7,mps,283.0,17.3,C,,-1,meters,2025-08-24T09:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,2.4,mps,296.0,17.2,C,,-1,meters,2025-08-24T09:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.5,mps,294.0,16.9,C,,-1,meters,2025-08-24T09:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,4.5,mps,304.0,16.8,C,,-1,meters,2025-08-24T09:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.6,mps,312.0,17.0,C,,-1,meters,2025-08-24T09:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.1,mps,319.0,17.3,C,,-1,meters,2025-08-24T09:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,2.5,mps,18.0,18.2,C,,-1,meters,2025-08-24T10:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.9,mps,319.0,18.4,C,,-1,meters,2025-08-24T10:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.3,mps,324.0,18.2,C,,-1,meters,2025-08-24T10:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.2,mps,325.0,18.2,C,,-1,meters,2025-08-24T10:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,2.3,mps,336.0,18.6,C,,-1,meters,2025-08-24T10:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,2.1,mps,349.0,18.8,C,,-1,meters,2025-08-24T10:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.9,mps,336.0,19.2,C,,-1,meters,2025-08-24T11:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,2.8,mps,315.0,19.5,C,,-1,meters,2025-08-24T11:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.2,mps,326.0,19.8,C,,-1,meters,2025-08-24T11:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,1.7,mps,321.0,19.9,C,,-1,meters,2025-08-24T11:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.0,mps,304.0,19.9,C,,-1,meters,2025-08-24T11:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.6,mps,308.0,20.0,C,,-1,meters,2025-08-24T11:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,4.2,mps,310.0,20.4,C,,-1,meters,2025-08-24T12:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.3,mps,308.0,20.7,C,,-1,meters,2025-08-24T12:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,2.7,mps,310.0,20.9,C,,-1,meters,2025-08-24T12:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.6,mps,304.0,21.1,C,,-1,meters,2025-08-24T12:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.8,mps,286.0,21.3,C,,-1,meters,2025-08-24T12:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,3.8,mps,285.0,21.4,C,,-1,meters,2025-08-24T12:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,4.4,mps,275.0,21.5,C,,-1,meters,2025-08-24T13:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,4.4,mps,281.0,21.5,C,,-1,meters,2025-08-24T13:10:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,4.5,mps,275.0,21.6,C,,-1,meters,2025-08-24T13:20:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,4.1,mps,277.0,21.7,C,,-1,meters,2025-08-24T13:30:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,4.2,mps,276.0,21.9,C,,-1,meters,2025-08-24T13:40:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,4.4,mps,275.0,21.7,C,,-1,meters,2025-08-24T13:50:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,4.5,mps,278.0,21.8,C,,-1,meters,2025-08-24T14:00:00Z
INT,GEOGCS,WGS84,46.672033,7.87045,10.0,meters,4.7,mps,275.0,21.9,C,,-1,meters,2025-08-24T14:10:00Z
