Station_Name,"Coord_Sys(PROJCS,GEOGCS)","Datum(WGS84,NAD83,NAD27)",Lat/YCoord,Lon/XCoord,Height,"Height_Units(meters,feet)",Speed,"Speed_Units(mph,kph,mps,kts)",Direction(degrees),Temperature,"Temperature_Units(F,C)",Cloud_Cover(%),Radius_of_Influence,"Radius_of_Influence_Units(miles,feet,meters,km)",date_time
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,1.1,mps,303.0,13.5,C,,-1,meters,2025-08-24T00:00:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.7,mps,305.0,13.0,C,,-1,meters,2025-08-24T00:10:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.5,mps,261.0,12.7,C,,-1,meters,2025-08-24T00:20:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.4,mps,224.0,12.1,C,,-1,meters,2025-08-24T00:30:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.3,mps,246.0,11.3,C,,-1,meters,2025-08-24T00:40:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.5,mps,258.0,11.4,C,,-1,meters,2025-08-24T00:50:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.5,mps,288.0,11.4,C,,-1,meters,2025-08-24T01:00:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.5,mps,274.0,10.8,C,,-1,meters,2025-08-24T01:10:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.7,mps,220.0,9.9,C,,-1,meters,2025-08-24T01:20:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.6,mps,205.0,9.8,C,,-1,meters,2025-08-24T01:30:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.6,mps,197.0,9.7,C,,-1,meters,2025-08-24T01:40:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.4,mps,195.0,9.9,C,,-1,meters,2025-08-24T01:50:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.6,mps,212.0,9.3,C,,-1,meters,2025-08-24T02:00:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.8,mps,205.0,9.1,C,,-1,meters,2025-08-24T02:10:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.4,mps,224.0,9.1,C,,-1,meters,2025-08-24T02:20:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.5,mps,242.0,9.3,C,,-1,meters,2025-08-24T02:30:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.3,mps,230.0,9.4,C,,-1,meters,2025-08-24T02:40:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.1,mps,245.0,9.2,C,,-1,meters,2025-08-24T02:50:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.1,mps,250.0,9.2,C,,-1,meters,2025-08-24T03:00:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.3,mps,264.0,8.8,C,,-1,meters,2025-08-24T03:10:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.5,mps,234.0,8.8,C,,-1,meters,2025-08-24T03:20:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.4,mps,211.0,8.8,C,,-1,meters,2025-08-24T03:30:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.4,mps,222.0,8.6,C,,-1,meters,2025-08-24T03:40:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.0,mps,0.0,8.3,C,,-1,meters,2025-08-24T03:50:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.1,mps,264.0,8.4,C,,-1,meters,2025-08-24T04:00:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.3,mps,217.0,8.1,C,,-1,meters,2025-08-24T04:10:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.7,mps,208.0,8.0,C,,-1,meters,2025-08-24T04:20:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.8,mps,185.0,7.6,C,,-1,meters,2025-08-24T04:30:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.9,mps,198.0,7.8,C,,-1,meters,2025-08-24T04:40:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,1.1,mps,205.0,7.7,C,,-1,meters,2025-08-24T04:50:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,1.0,mps,198.0,8.0,C,,-1,meters,2025-08-24T05:00:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.5,mps,195.0,8.4,C,,-1,meters,2025-08-24T05:10:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.3,mps,191.0,8.7,C,,-1,meters,2025-08-24T05:20:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.0,mps,0.0,9.1,C,,-1,meters,2025-08-24T05:30:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.3,mps,226.0,9.6,C,,-1,meters,2025-08-24T05:40:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.3,mps,270.0,9.9,C,,-1,meters,2025-08-24T05:50:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.0,mps,0.0,10.8,C,,-1,meters,2025-08-24T06:00:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.2,mps,339.0,11.4,C,,-1,meters,2025-08-24T06:10:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.6,mps,357.0,11.6,C,,-1,meters,2025-08-24T06:20:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,0.9,mps,356.0,12.0,C,,-1,meters,2025-08-24T06:30:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,1.1,mps,360.0,12.2,C,,-1,meters,2025-08-24T06:40:00Z
THU,GEOGCS,WGS84,46.749853,7.585222,10.0,meters,1.3,mps,350.0,12.6,C,,-1,meters,2025-08-24T06:50:00Z
